131287-51-9	20	1.65E+02
96-45-7	30	2.90E+02
502-39-6	20	7.65E+02
108-78-1	19.9	2.17E+03
121-82-4	25	2.06E+05
107-18-6	25	1.01E+01
123-38-6	25	1.72E+01
67-64-1	25	1.01E+01
75-56-9	67	2.82E+01
503-30-0	67	2.82E+01
16088-62-3	67	2.82E+01
15448-47-2	67	2.82E+01
79-09-4	100	7.31E+00
109-94-4	25	4.77E+01
79-20-9	25	2.10E+01
646-06-0	50	1.03E+01
60077-04-5	25	5.66E+02
60041-48-7	25	2.19E+02
110-88-3	84.35	1.49E+01
56-82-6	18	1.73E+02
616-38-6	25	3.53E+01
1120-71-4		6.88E+01
60102-88-7	25	7.31E+02
60102-87-6	25	7.73E+03
1072-43-1	25	1.42E+02
870-23-5	25	7.44E+02
106-94-5	25	2.91E+03
75-26-3	25	2.15E+03
627-18-9	20	5.53E+01
540-54-5	25	1.64E+03
75-29-6	25	1.48E+03
107-08-4	25	9.32E+03
75-30-9	20	6.73E+03
68-12-2	82.85	1.86E+00
79-16-3	60	1.53E+00
108-03-2	20	3.54E+02
79-46-9	20	2.92E+02
302-72-7	25	3.58E+01
338-69-2	25	3.59E+01
56-41-7	25	3.59E+01
107-97-1	20	1.09E+02
3374-22-9	20	2.00E+03
632-12-2	20	3.82E+02
302-84-1	25	1.17E+02
759-73-9	20	5.08E+02
352-97-6	15	1.45E+03
1071-83-6	25	7.83E+02
71-23-8	25	1.73E+01
67-63-0	25	8.42E+00
540-67-0	25	4.44E+01
59-52-9	20	9.41E+01
109-86-4	46	2.46E+01
57-55-6	40	1.12E+00
504-63-2	25	3.90E+01
4254-14-2	40	1.12E+00
4254-15-3	40	1.12E+00
56-81-5	25	5.20E-01
107-03-9	25	2.22E+03
75-33-2	25	8.70E+02
624-89-5	25	7.75E+02
20333-39-5	25	1.01E+04
1618-26-4	25	1.74E+04
107-10-8	25	2.07E+00
75-31-0	20	1.30E+00
624-78-2	25	2.29E+00
75-50-3	25	2.63E+00
87-68-3	25	4.47E+06
115-25-3	25	2.15E+05
87-58-1	15	1.58E+05
460-12-8	25	2.92E+02
50-71-5		9.87E+02
51-21-8	25	5.93E+02
26584-42-9	37	7.01E+03
28176-10-5	25.6	1.07E+04
689-97-4	25	1.51E+03
526-78-3	17	7.67E+02
15216-12-3	20	3.40E+03
141-90-2	25	1.00E+04
66-22-8	25	1.74E+03
1193-24-4	20	2.50E+03
123-33-1	25	1.04E+03
67-52-7	37	3.74E+08
223674-01-9	20	1.08E+03
110-00-9	25	3.79E+02
110-17-8	25	9.15E+02
110-02-1	25	1.55E+03
923-06-8	15.5	9.21E+01
6214-28-4	12.5	3.02E+02
6625-00-9	7	5.36E+02
600-13-5	19	3.20E+02
24253-33-6	19	1.10E+02
16045-92-4	20	4.80E+01
406-90-6		1.75E+06
627-26-9	25	3.53E+02
1190-76-7	25	1.50E+02
126-98-7	25	1.70E+02
109-75-1	109	9.78E+00
4786-20-3	25	1.22E+02
109-97-7	20	7.92E+01
10004-44-1	25	6.57E+01
57-06-7	20	2.75E+03
71-30-7	25	8.08E+02
1004-40-6	25	3.10E+04
932-52-5	20	1.41E+04
696-23-1	20	2.35E+03
503-17-3	25	6.36E+02
107-00-6	25	7.49E+02
106-99-0	25	4.08E+03
30007-47-7	25	2.05E+03
628-20-6	25	2.70E+02
3001-57-8	20	4.78E+03
106-57-0	25	3.77E+02
12122-67-7	20	1.53E+07
97-59-6	20	1.68E+03
59-66-5	20	2.47E+04
123-73-9	25	1.56E+01
15798-64-8	25	5.00E+01
7319-38-2	25	3.58E+01
78-85-3	25	1.81E+01
109-93-3	37	1.01E+03
18913-31-0	25	1.41E+02
